# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
0.100000  7.27151100e-21 -5.64669822e+02  7.27151100e-21  1.00000000e+00  1.00000000e+00
0.200000  7.44117253e-18 -1.37159336e-01  7.44117253e-18  1.00000000e+00  1.00000000e+00
0.300000  4.28629297e-16  3.90825579e-04  4.28629297e-16  1.00000000e+00  1.00000000e+00
0.400000  7.59990549e-15 -3.66289640e-04  7.59990549e-15  1.00000000e+00  1.00000000e+00
0.500000  7.06412396e-14 -2.15357267e-05  7.06412396e-14  1.00000000e+00  1.00000000e+00
0.600000  4.36346695e-13  3.81548434e-06  4.36346695e-13  9.99999771e-01  9.99999771e-01
0.700000  2.03269081e-12 -7.70117235e-07  2.03269081e-12  1.00000000e+00  1.00000000e+00
0.800000  7.70146281e-12 -3.54663507e-07  7.70146281e-12  1.00000000e+00  1.00000000e+00
0.900000  2.49167513e-11  2.76932068e-08  2.49167513e-11  9.98202133e-01  9.98202133e-01
1.000000  7.11655264e-11  4.00101485e-08  7.11655264e-11  9.96448942e-01  9.96448942e-01
1.100000  1.83742679e-10  5.86030228e-09  1.83742679e-10  9.39198772e-01  9.39198772e-01
1.200000  4.36434583e-10 -4.87672616e-09  4.36434583e-10  1.00000000e+00  1.00000000e+00
1.300000  9.66436816e-10 -1.53302670e-09  9.66436816e-10  1.00000000e+00  1.00000000e+00
1.400000  2.01587241e-09  2.26030055e-09  2.01587241e-09  5.71604883e-02  5.71604883e-02
1.500000  3.99344070e-09  3.44967523e-09  3.99344070e-09  7.30561595e-02  7.30561595e-02
1.600000  7.56302213e-09  7.33667275e-09  7.56302213e-09  1.51915448e-02  1.51915448e-02
1.700000  1.37674742e-08  1.37292040e-08  1.37674742e-08  1.39181060e-03  1.39181060e-03
1.800000  2.41973554e-08  2.41995347e-08  2.41973554e-08  4.50289832e-05  4.50289832e-05
1.900000  4.12158807e-08  4.12850079e-08  4.12158807e-08  8.37897324e-04  8.37897324e-04
2.000000  6.82530086e-08  6.83419910e-08  6.82530086e-08  6.51432152e-04  6.51432152e-04
2.100000  1.10183156e-07  1.10186860e-07  1.10183156e-07  1.68076022e-05  1.68076022e-05
2.200000  1.73802576e-07  1.73800116e-07  1.73802576e-07  7.07783084e-06  7.07783084e-06
2.300000  2.68423900e-07  2.68438837e-07  2.68423900e-07  2.78239912e-05  2.78239912e-05
2.400000  4.06606642e-07  4.06609155e-07  4.06606642e-07  3.09030877e-06  3.09030877e-06
2.500000  6.05043623e-07  6.05045591e-07  6.05043623e-07  1.62630727e-06  1.62630727e-06
2.600000  8.85624115e-07  8.85625841e-07  8.85624115e-07  9.74510960e-07  9.74510960e-07
2.700000  1.27669516e-06  1.27669838e-06  1.27669516e-06  1.25992210e-06  1.25992210e-06
2.800000  1.81454273e-06  1.81454283e-06  1.81454273e-06  2.70944897e-08  2.70944903e-08
2.900000  2.54511432e-06  2.54511372e-06  2.54511432e-06  1.17072933e-07  1.17072933e-07
3.000000  3.52600389e-06  3.52600290e-06  3.52600389e-06  1.41151597e-07  1.41151596e-07
3.100000  4.82871932e-06  4.82871959e-06  4.82871932e-06  2.86083104e-08  2.86083123e-08
3.200000  6.54125051e-06  6.54125077e-06  6.54125051e-06  2.02067961e-08  2.02067972e-08
3.300000  8.77095477e-06  8.77095484e-06  8.77095477e-06  4.14131520e-09  4.14131482e-09
3.400000  1.16477730e-05  1.16477727e-05  1.16477730e-05  1.31764926e-08  1.31764930e-08
3.500000  1.53277870e-05  1.53277872e-05  1.53277870e-05  7.75816165e-09  7.75816187e-09
3.600000  1.99971251e-05  1.99971251e-05  1.99971251e-05  2.57509281e-10  2.57509536e-10
3.700000  2.58762175e-05  2.58762175e-05  2.58762175e-05  3.53173959e-10  3.53173959e-10
3.800000  3.32243988e-05  3.32243988e-05  3.32243988e-05  2.27277138e-10  2.27277444e-10
3.900000  4.23448503e-05  4.23448502e-05  4.23448503e-05  6.96858001e-10  6.96858081e-10
4.000000  5.35898658e-05  5.35898658e-05  5.35898658e-05  3.34704129e-10  3.34704509e-10
4.100000  6.73664216e-05  6.73664217e-05  6.73664216e-05  4.29168989e-10  4.29169190e-10
4.200000  8.41420218e-05  8.41420219e-05  8.41420218e-05  2.35539324e-10  2.35539163e-10
4.300000  1.04450783e-04  1.04450783e-04  1.04450783e-04  4.58832968e-11  4.58831670e-11
4.400000  1.28899719e-04  1.28899719e-04  1.28899719e-04  3.51397083e-11  3.51398135e-11
4.500000  1.58175164e-04  1.58175164e-04  1.58175164e-04  3.45300984e-12  3.45309552e-12
4.600000  1.93049293e-04  1.93049293e-04  1.93049293e-04  1.71578922e-11  1.71579624e-11
4.700000  2.34386654e-04  2.34386654e-04  2.34386654e-04  4.59725121e-12  4.59690428e-12
4.800000  2.83150650e-04  2.83150650e-04  2.83150650e-04  8.30447564e-12  8.30457136e-12
4.900000  3.40409877e-04  3.40409877e-04  3.40409877e-04  4.07909676e-12  4.07933564e-12
5.000000  4.07344244e-04  4.07344244e-04  4.07344244e-04  3.76288813e-12  3.76302121e-12
5.100000  4.85250757e-04  4.85250757e-04  4.85250757e-04  5.34671149e-13  5.34838723e-13
5.200000  5.75548880e-04  5.75548880e-04  5.75548880e-04  2.23302190e-12  2.23321028e-12
5.300000  6.79785360e-04  6.79785360e-04  6.79785360e-04  2.65657582e-12  2.65665556e-12
5.400000  7.99638393e-04  7.99638392e-04  7.99638393e-04  1.98783453e-12  1.98769894e-12
5.500000  9.36921026e-04  9.36921026e-04  9.36921026e-04  5.68241572e-13  5.68125852e-13
5.600000  1.09358367e-03  1.09358367e-03  1.09358367e-03  5.96240786e-13  5.96141643e-13
5.700000  1.27171559e-03  1.27171559e-03  1.27171559e-03  2.73498304e-13  2.73498304e-13
5.800000  1.47354527e-03  1.47354527e-03  1.47354527e-03  8.50338619e-13  8.50044307e-13
5.900000  1.70143952e-03  1.70143952e-03  1.70143952e-03  2.77002314e-13  2.76874869e-13
6.000000  1.95790120e-03  1.95790120e-03  1.95790120e-03  1.95697846e-13  1.95476343e-13
6.100000  2.24556545e-03  2.24556545e-03  2.24556545e-03  6.56634146e-15  6.85603300e-15
6.200000  2.56719436e-03  2.56719436e-03  2.56719436e-03  1.19772675e-13  1.21039664e-13
6.300000  2.92566988e-03  2.92566988e-03  2.92566988e-03  3.42418266e-14  4.00229142e-14
