# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
-1.000000 -2.01383753e+01             nan -2.01383753e+01  0.00000000e+00  0.00000000e+00
-0.698970 -1.71283586e+01             nan -1.71283586e+01  0.00000000e+00  0.00000000e+00
-0.522879 -1.53679181e+01 -3.40801702e+00 -1.53679181e+01 -9.52610888e-13 -9.52610888e-13
-0.397940 -1.41191918e+01             nan -1.41191918e+01  0.00000000e+00  0.00000000e+00
-0.301030 -1.31509417e+01             nan -1.31509417e+01  0.00000000e+00  0.00000000e+00
-0.221849 -1.23601683e+01 -5.41845032e+00 -1.23601683e+01 -9.93336334e-08 -9.93336334e-08
-0.154902 -1.16919287e+01             nan -1.16919287e+01  0.00000000e+00  0.00000000e+00
-0.096910 -1.11134268e+01             nan -1.11134268e+01  0.00000000e+00  0.00000000e+00
-0.045757 -1.06035086e+01 -7.55762675e+00 -1.06035086e+01 -7.81506495e-04 -7.81506495e-04
-0.000000 -1.01477303e+01 -7.39782984e+00 -1.01477303e+01 -1.54494943e-03 -1.54494943e-03
0.041393 -9.73578995e+00 -8.23207998e+00 -9.73578995e+00 -2.72424842e-02 -2.72424842e-02
0.079181 -9.36008084e+00             nan -9.36008084e+00  0.00000000e+00  0.00000000e+00
0.113943 -9.01482653e+00             nan -9.01482653e+00  0.00000000e+00  0.00000000e+00
0.146128 -8.69553696e+00 -8.64583381e+00 -8.69553696e+00 -1.24290407e+00 -1.24290407e+00
0.176091 -8.39865276e+00 -8.46222179e+00 -8.39865276e+00 -1.13634316e+00 -1.13634316e+00
0.204120 -8.12130463e+00 -8.13450085e+00 -8.12130463e+00 -1.81839806e+00 -1.81839806e+00
0.230449 -7.86114573e+00 -7.86235464e+00 -7.86114573e+00 -2.85641986e+00 -2.85641986e+00
0.255273 -7.61623210e+00 -7.61619298e+00 -7.61623210e+00 -4.34650786e+00 -4.34650786e+00
0.278754 -7.38493542e+00 -7.38420763e+00 -7.38493542e+00 -3.07680920e+00 -3.07680920e+00
0.301030 -7.16587820e+00 -7.16531237e+00 -7.16587820e+00 -3.18613081e+00 -3.18613081e+00
0.322219 -6.95788479e+00 -6.95787019e+00 -6.95788479e+00 -4.77449424e+00 -4.77449424e+00
0.342423 -6.75994379e+00 -6.75994994e+00 -6.75994379e+00 -5.15009982e+00 -5.15009982e+00
0.361728 -6.57117882e+00 -6.57115465e+00 -6.57117882e+00 -4.55558057e+00 -4.55558057e+00
0.380211 -6.39082553e+00 -6.39082285e+00 -6.39082553e+00 -5.50999813e+00 -5.50999813e+00
0.397940 -6.21821331e+00 -6.21821190e+00 -6.21821331e+00 -5.78879740e+00 -5.78879740e+00
0.414973 -6.05275057e+00 -6.05274972e+00 -6.05275057e+00 -6.01121327e+00 -6.01121327e+00
0.431364 -5.89391279e+00 -5.89391169e+00 -5.89391279e+00 -5.89965631e+00 -5.89965631e+00
0.447158 -5.74123280e+00 -5.74123278e+00 -5.74123280e+00 -7.56711902e+00 -7.56711901e+00
0.462398 -5.59429271e+00 -5.59429281e+00 -5.59429271e+00 -6.93154350e+00 -6.93154350e+00
0.477121 -5.45271721e+00 -5.45271734e+00 -5.45271721e+00 -6.85031420e+00 -6.85031421e+00
0.491362 -5.31616804e+00 -5.31616801e+00 -5.31616804e+00 -7.54350779e+00 -7.54350776e+00
0.505150 -5.18433922e+00 -5.18433920e+00 -5.18433922e+00 -7.69450254e+00 -7.69450252e+00
0.518514 -5.05695313e+00 -5.05695313e+00 -5.05695313e+00 -8.38286171e+00 -8.38286175e+00
0.531479 -4.93375710e+00 -4.93375711e+00 -4.93375710e+00 -7.88020018e+00 -7.88020017e+00
0.544068 -4.81452054e+00 -4.81452054e+00 -4.81452054e+00 -8.11024118e+00 -8.11024116e+00
0.556303 -4.69903244e+00 -4.69903244e+00 -4.69903244e+00 -9.58920711e+00 -9.58920668e+00
0.568202 -4.58709921e+00 -4.58709921e+00 -4.58709921e+00 -9.45201133e+00 -9.45201133e+00
0.579784 -4.47854287e+00 -4.47854287e+00 -4.47854287e+00 -9.64344425e+00 -9.64344366e+00
0.591065 -4.37319940e+00 -4.37319940e+00 -4.37319940e+00 -9.15685571e+00 -9.15685566e+00
0.602060 -4.27091733e+00 -4.27091733e+00 -4.27091733e+00 -9.47533893e+00 -9.47533844e+00
0.612784 -4.17155652e+00 -4.17155652e+00 -4.17155652e+00 -9.36737167e+00 -9.36737146e+00
0.623249 -4.07498706e+00 -4.07498706e+00 -4.07498706e+00 -9.62793658e+00 -9.62793687e+00
0.633468 -3.98108830e+00 -3.98108830e+00 -3.98108830e+00 -1.03383454e+01 -1.03383466e+01
0.643453 -3.88974803e+00 -3.88974803e+00 -3.88974803e+00 -1.04542018e+01 -1.04542005e+01
0.653213 -3.80086171e+00 -3.80086171e+00 -3.80086171e+00 -1.14618022e+01 -1.14617914e+01
0.662758 -3.71433179e+00 -3.71433179e+00 -3.71433179e+00 -1.07655361e+01 -1.07655343e+01
0.672098 -3.63006712e+00 -3.63006712e+00 -3.63006712e+00 -1.13375018e+01 -1.13375345e+01
0.681241 -3.54798244e+00 -3.54798244e+00 -3.54798244e+00 -1.10806878e+01 -1.10806828e+01
0.690196 -3.46799785e+00 -3.46799785e+00 -3.46799785e+00 -1.13894360e+01 -1.13894106e+01
0.698970 -3.39003842e+00 -3.39003842e+00 -3.39003842e+00 -1.14244787e+01 -1.14244633e+01
0.707570 -3.31403378e+00 -3.31403378e+00 -3.31403378e+00 -1.22719132e+01 -1.22717772e+01
0.716003 -3.23991779e+00 -3.23991779e+00 -3.23991779e+00 -1.16511070e+01 -1.16510704e+01
0.724276 -3.16762819e+00 -3.16762819e+00 -3.16762819e+00 -1.15756778e+01 -1.15756647e+01
0.732394 -3.09710636e+00 -3.09710636e+00 -3.09710636e+00 -1.17016198e+01 -1.17016494e+01
0.740363 -3.02829701e+00 -3.02829701e+00 -3.02829701e+00 -1.22454670e+01 -1.22455554e+01
0.748188 -2.96114798e+00 -2.96114798e+00 -2.96114798e+00 -1.22245783e+01 -1.22246505e+01
0.755875 -2.89561000e+00 -2.89561000e+00 -2.89561000e+00 -1.25630454e+01 -1.25630454e+01
0.763428 -2.83163652e+00 -2.83163652e+00 -2.83163652e+00 -1.20704081e+01 -1.20705584e+01
0.770852 -2.76918348e+00 -2.76918348e+00 -2.76918348e+00 -1.25575166e+01 -1.25577165e+01
0.778151 -2.70820923e+00 -2.70820923e+00 -2.70820923e+00 -1.27084140e+01 -1.27089058e+01
0.785330 -2.64867428e+00 -2.64867428e+00 -2.64867428e+00 -1.41826765e+01 -1.41639271e+01
0.792392 -2.59054125e+00 -2.59054125e+00 -2.59054125e+00 -1.29216423e+01 -1.29170723e+01
0.799341 -2.53377468e+00 -2.53377468e+00 -2.53377468e+00 -1.34654431e+01 -1.33976913e+01
0.806180 -2.47834095e+00 -2.47834095e+00 -2.47834095e+00 -1.32459995e+01 -1.32480009e+01
0.812913 -2.42420816e+00 -2.42420816e+00 -2.42420816e+00 -1.38246782e+01 -1.38365311e+01
0.819544 -2.37134603e+00 -2.37134603e+00 -2.37134603e+00 -1.39500910e+01 -1.39345789e+01
0.826075 -2.31972581e+00 -2.31972581e+00 -2.31972581e+00 -1.41857714e+01 -1.41857714e+01
0.832509 -2.26932020e+00 -2.26932020e+00 -2.26932020e+00 -1.46021478e+01 -1.45883596e+01
0.838849 -2.22010328e+00 -2.22010328e+00 -2.22010328e+00 -1.51013338e+01 -1.50635452e+01
0.845098 -2.17205042e+00 -2.17205042e+00 -2.17205042e+00 -1.39403593e+01 -1.39331007e+01
0.851258 -2.12513823e+00 -2.12513823e+00 -2.12513823e+00 -1.41105867e+01 -1.41304815e+01
0.857332 -2.07934448e+00 -2.07934448e+00 -2.07934448e+00 -1.36602360e+01 -1.36581728e+01
0.863323 -2.03464807e+00 -2.03464807e+00 -2.03464807e+00 -1.42010769e+01 -1.41883026e+01
0.869232 -1.99102896e+00 -1.99102896e+00 -1.99102896e+00 -1.40495815e+01 -1.40373470e+01
0.875061 -1.94846813e+00 -1.94846813e+00 -1.94846813e+00 -1.47516038e+01 -1.47709089e+01
0.880814 -1.90694753e+00 -1.90694753e+00 -1.90694753e+00 -1.44066642e+01 -1.44646561e+01
0.886491 -1.86645005e+00 -1.86645005e+00 -1.86645005e+00 -1.40135061e+01 -1.40221634e+01
0.892095 -1.82695947e+00 -1.82695947e+00 -1.82695947e+00 -1.43715174e+01 -1.43715174e+01
0.897627 -1.78846042e+00 -1.78846042e+00 -1.78846042e+00 -1.39945857e+01 -1.40038264e+01
0.903090 -1.75093837e+00 -1.75093837e+00 -1.75093837e+00 -1.46876121e+01 -1.47793824e+01
0.908485 -1.71437960e+00 -1.71437960e+00 -1.71437960e+00 -1.42402102e+01 -1.42334768e+01
0.913814 -1.67877116e+00 -1.67877116e+00 -1.67877116e+00 -1.45906369e+01 -1.45768486e+01
0.919078 -1.64410083e+00 -1.64410083e+00 -1.64410083e+00 -1.48156389e+01 -1.50027256e+01
0.924279 -1.61035714e+00 -1.61035714e+00 -1.61035714e+00 -1.47354393e+01 -1.47354393e+01
0.929419 -1.57752933e+00 -1.57752933e+00 -1.57752933e+00 -1.45300279e+01 -1.46150387e+01
0.934498 -1.54560732e+00 -1.54560732e+00 -1.54560732e+00 -1.56131024e+01 -1.54370112e+01
0.939519 -1.51458174e+00 -1.51458174e+00 -1.51458174e+00 -1.54680368e+01 -1.54010900e+01
0.944483 -1.48444384e+00 -1.48444384e+00 -1.48444384e+00 -1.48613526e+01 -1.50722059e+01
0.949390 -1.45518556e+00 -1.45518556e+00 -1.45518556e+00 -1.46621315e+01 -1.46823349e+01
0.954243 -1.42679948e+00 -1.42679948e+00 -1.42679948e+00 -1.54308803e+01            -inf
0.959041 -1.39927881e+00 -1.39927881e+00 -1.39927881e+00 -1.54584009e+01 -1.54584009e+01
0.963788 -1.37261741e+00 -1.37261741e+00 -1.37261741e+00 -1.48830024e+01 -1.51840324e+01
0.968483 -1.34680977e+00 -1.34680977e+00 -1.34680977e+00 -1.58119000e+01 -1.53347787e+01
0.973128 -1.32185101e+00 -1.32185101e+00 -1.32185101e+00 -1.52927907e+01 -1.52347988e+01
0.977724 -1.29773689e+00 -1.29773689e+00 -1.29773689e+00 -1.46568529e+01 -1.50480595e+01
0.982271 -1.27446381e+00 -1.27446381e+00 -1.27446381e+00 -1.58842459e+01 -1.48842459e+01
0.986772 -1.25202882e+00 -1.25202882e+00 -1.25202882e+00 -1.53046209e+01 -1.55087409e+01
0.991226 -1.23042963e+00 -1.23042963e+00 -1.23042963e+00 -1.56272501e+01 -1.57521889e+01
0.995635 -1.20966461e+00 -1.20966461e+00 -1.20966461e+00 -1.62500751e+01 -1.51361318e+01
1.000000 -1.18973283e+00 -1.18973283e+00 -1.18973283e+00 -1.59689769e+01            -inf
1.004321 -1.17063405e+00 -1.17063405e+00 -1.17063405e+00 -1.59880757e+01 -1.56870457e+01
1.008600 -1.15236878e+00 -1.15236878e+00 -1.15236878e+00            -inf -1.60063410e+01
1.012837 -1.13493824e+00 -1.13493824e+00 -1.13493824e+00 -1.52456203e+01 -1.55466503e+01
1.017033 -1.11834449e+00 -1.11834449e+00 -1.11834449e+00 -1.53413953e+01 -1.54383053e+01
1.021189 -1.10259036e+00 -1.10259036e+00 -1.10259036e+00 -1.60561194e+01            -inf
1.025306 -1.08767957e+00 -1.08767957e+00 -1.08767957e+00 -1.57700002e+01            -inf
1.029384 -1.07361672e+00 -1.07361672e+00 -1.07361672e+00 -1.60850930e+01 -1.56079718e+01
1.033424 -1.06040739e+00 -1.06040739e+00 -1.06040739e+00            -inf -1.56211811e+01
1.037426 -1.04805816e+00 -1.04805816e+00 -1.04805816e+00 -1.61106516e+01 -1.61106516e+01
1.041393 -1.03657671e+00 -1.03657671e+00 -1.03657671e+00 -1.55200731e+01 -1.58211031e+01
1.045323 -1.02597187e+00 -1.02597187e+00 -1.02597187e+00            -inf -1.61327379e+01
1.049218 -1.01625373e+00 -1.01625373e+00 -1.01625373e+00 -1.61424560e+01 -1.58414260e+01
1.053078 -1.00743375e+00 -1.00743375e+00 -1.00743375e+00            -inf -1.61512760e+01
1.056905 -9.99524829e-01 -9.99524829e-01 -9.99524829e-01 -1.58581549e+01 -1.53140869e+01
1.060698 -9.92541507e-01 -9.92541507e-01 -9.92541507e-01 -1.58651383e+01 -1.61661682e+01
1.064458 -9.86500061e-01 -9.86500061e-01 -9.86500061e-01 -1.56950884e+01 -1.54732397e+01
1.068186 -9.81418712e-01 -9.81418712e-01 -9.81418712e-01 -1.58762610e+01 -1.57001698e+01
1.071882 -9.77317820e-01 -9.77317820e-01 -9.77317820e-01 -1.61813919e+01 -1.61813919e+01
1.075547 -9.74220123e-01 -9.74220123e-01 -9.74220123e-01 -1.58834596e+01            -inf
1.079181 -9.72151014e-01 -9.72151014e-01 -9.72151014e-01 -1.61865587e+01            -inf
1.082785 -9.71138863e-01 -9.71138863e-01 -9.71138863e-01 -1.58865409e+01 -1.61875709e+01
1.086360 -9.71215395e-01 -9.71215395e-01 -9.71215395e-01 -1.52844044e+01 -1.61874944e+01
1.089905 -9.72416138e-01 -9.72416138e-01 -9.72416138e-01 -1.58852636e+01 -1.61862936e+01
1.093422 -9.74780956e-01 -9.74780956e-01 -9.74780956e-01 -1.49051752e+01 -1.61839288e+01
1.096910 -9.78354677e-01 -9.78354677e-01 -9.78354677e-01 -1.41760337e+01 -1.55782951e+01
1.100371 -9.83187861e-01 -9.83187861e-01 -9.83187861e-01 -1.53304239e+01 -1.58744919e+01
1.103804 -9.89337716e-01 -9.89337716e-01 -9.89337716e-01 -1.58683420e+01 -1.61693720e+01
1.107210 -9.96869221e-01 -9.96869221e-01 -9.96869221e-01 -1.55597805e+01 -1.58608105e+01
1.110590 -1.00585650e+00 -1.00585650e+00 -1.00585650e+00 -1.58518233e+01 -1.58518233e+01
1.113943 -1.01638455e+00 -1.01638455e+00 -1.01638455e+00 -1.56652039e+01 -1.58412952e+01
1.117271 -1.02855134e+00 -1.02855134e+00 -1.02855134e+00 -1.61301584e+01 -1.61301584e+01
1.120574 -1.04247056e+00 -1.04247056e+00 -1.04247056e+00 -1.56391179e+01 -1.56391179e+01
1.123852 -1.05827504e+00 -1.05827504e+00 -1.05827504e+00 -1.61004347e+01 -1.61004347e+01
1.127105 -1.07612130e+00 -1.07612130e+00 -1.07612130e+00 -1.60825885e+01 -1.49686451e+01
1.130334 -1.09619538e+00 -1.09619538e+00 -1.09619538e+00 -1.60625144e+01 -1.57614844e+01
1.133539 -1.11872082e+00 -1.11872082e+00 -1.11872082e+00 -1.54379289e+01 -1.55628677e+01
1.136721 -1.14396933e+00 -1.14396933e+00 -1.14396933e+00            -inf -1.60147404e+01
1.139879 -1.17227583e+00 -1.17227583e+00 -1.17227583e+00            -inf -1.55093127e+01
1.143015 -1.20405966e+00 -1.20405966e+00 -1.20405966e+00 -1.54775288e+01 -1.54775288e+01
1.146128 -1.23985574e+00 -1.23985574e+00 -1.23985574e+00            -inf            -inf
1.149219 -1.28036158e+00 -1.28036158e+00 -1.28036158e+00            -inf -1.58783482e+01
1.152288 -1.32651100e+00 -1.32651100e+00 -1.32651100e+00 -1.56561075e+01 -1.56561075e+01
1.155336 -1.37959522e+00 -1.37959522e+00 -1.37959522e+00 -1.56030233e+01 -1.56030233e+01
1.158362 -1.44147319e+00 -1.44147319e+00 -1.44147319e+00 -1.60182666e+01 -1.55411453e+01
1.161368 -1.51496414e+00 -1.51496414e+00 -1.51496414e+00 -1.55468356e+01 -1.59447756e+01
1.164353 -1.60465211e+00 -1.60465211e+00 -1.60465211e+00 -1.54571476e+01 -1.52530276e+01
1.167317 -1.71876318e+00 -1.71876318e+00 -1.71876318e+00 -1.54399466e+01 -1.51969085e+01
1.170262 -1.87448001e+00 -1.87448001e+00 -1.87448001e+00 -1.50733764e+01 -1.47723464e+01
1.173186 -2.11891266e+00 -2.11891266e+00 -2.11891266e+00 -1.47387671e+01 -1.62439171e+01
1.176091 -2.72193748e+00 -2.72193748e+00 -2.72193748e+00 -1.43238742e+01 -1.42517262e+01
1.178977             nan             nan             nan -1.48223150e+01 -1.44311084e+01
1.181844             nan             nan             nan -1.57289275e+01 -1.45985938e+01
1.184691             nan             nan             nan -1.50536266e+01 -1.51883252e+01
1.187521             nan             nan             nan -1.52836405e+01 -1.52166937e+01
1.190332             nan             nan             nan -1.56833957e+01 -1.54615470e+01
1.193125             nan             nan             nan -1.45220064e+01 -1.57608885e+01
1.195900             nan             nan             nan -1.37165968e+01 -1.53978380e+01
1.198657             nan             nan             nan -1.48759854e+01 -1.57510466e+01
1.201397             nan             nan             nan -1.54938612e+01 -1.53969512e+01
1.204120             nan             nan             nan -1.51330349e+01 -1.61330349e+01
